Lead Id,Visit date,Comment
1982973,2023-03-19," 
 30-10-23 18:08 PM (Kirti Prakash) : Table Discussion-19/03/2023 - client stays in Chembur, intersted for 1bhk for end use, liked the project, client is working in BMC, will discuss with family and will try to come on Gudi Padwa for further discussion.. -Follow Up/Revisit Discussions-30/03/2023 - family said no for Kharghar Location...26/03/2023 - client is still working on finances, needs weeks time to decide.. 22/03/2023 - client is working on finances, needs time to decide..21/03/2023 - client said will confirm the revisit time tomorrow morning after discussing with parents.."
1982974,2023-03-19," 
 30-10-23 18:44 PM (Kirti Prakash) : Table Discussion-19/03/2023 - client stays in Dombivali, intersted for 2bhk, has a business of Oil import and export, liked the project, liked layout of 2bhk Jodi Flat, will discuss with Guruji and will revert by wednesday.. -Follow Up/Revisit Discussions-24/08/2023 - Client said his offer for 2bhk is 55 lacs all inclusive...28/03/2023 - client said will take 5-6 months time to decide...24/03/2023 - client said will come for revisit on Monday (27/03/2023 )..22/03/2023 - client said he is busy in family function, will be coming on weekend..21/03/2023 - client said he will confirm me the timing tomorrow morning after speaking to his guruji.."
1982975,2023-03-19," 
 30-10-23 18:08 PM (Kirti Prakash) : Table Discussion-Booked somewere else -Follow Up/Revisit Discussions-"
1984800,2023-07-09," 
 30-10-23 18:36 PM (Kirti Prakash) : Table Discussion- Client is from Airoli, Looking for 1BHK self use. Have just started scouting properties, will discuss with his wife and let know by next weekend. -Follow Up/Revisit Discussions-14-07- Not yet decided with his wife, said will disuss and let knw.
16-07- Not possible for today, said will let knw.
21-07- Client said his wife is not okay for the project."
1984844,2023-07-15," 
 30-10-23 19:13 PM (Kirti Prakash) : Table Discussion-, Satying @ Ulawe on rent,Both working @ Vashi IT Firm, 60k + 60k salary, want to visit with family , they are coming from jaipur, revisit mostly in this week -Follow Up/Revisit Discussions-7-10-23: Not answering calls
29-09-23: Not Answering calls
16-09-23: Not Answering calls
09-09-23: Not answering calls
28-08-23: Not Connecting calls
26-07-23: Not Answering calls
24-07-23: Not Answering calls
21-07-23: Not Answering calls
 Satying @ Ulawe on rent,Both working @ Vashi IT Firm, 60k + 60k salary, want to visit with family , they are coming from jaipur, revisit mostly in this week"
1984894,2023-07-16," 
 30-10-23 18:23 PM (Kirti Prakash) : Table Discussion- -Follow Up/Revisit Discussions-21/07 Customer said he's currently out of country will be back mid of next week plz call me by next Friday
30/07 Not answering
08/08 Said is currently in Chennai will be back on the 20th night in Mumbai hence can plan for 26th Aug
25/08 Not answering
29/08 Said will come this saturday
01/09 Called up for following up for tomorrow did not pick uo the call just dropped message for confirmation
02/09 Customer is not responding to call or message, dropped message on Whats app
09/09 Not answering
12/09 Not answering
15/09 Since customer is not responding informed the SM to ask the CP to make an additional push
18/09 Since not responding on call sent message on whats app to connect. Got a message on whats app saying he's been travelling extensively & hence  unable to plan or discuss, putting it on hold for some time. Said will proactively call back the day he's free to call & discuss
26/10 Dropped message for revisit plans, not responding to calls
05/10 Dropped a mesage on whats app to discuss further
11/10 Dropped price increase message after this weekend"
1984845,2023-07-15," 
 30-10-23 19:13 PM (Kirti Prakash) : Table Discussion-Staying @ Airoli, working @ Ghansoli IT Firm, Privous loan EMI-38k, end use 5 Lac Ocr Only, need some time for Scouting  -Follow Up/Revisit Discussions-21-07-23: 35L to 40 L Bidget Only
Staying @ Airoli, working @ Ghansoli IT Firm, Privous loan EMI-38k, end use 5 Lac Ocr Only, need some time for Scouting "
1984861,2023-07-15," 
 30-10-23 18:23 PM (Kirti Prakash) : Table Discussion-15/07/2023 - Client stays in Andheri, intersted for 1bhk for end use, working in IT Firm, will take atleast months time to decide... -Follow Up/Revisit Discussions-24/08/2023 - Client said plan drop for kharghar, will be purchasing property in Thane..18/08/2023 - ringing...17/08/2023 - ringing...11/08/2023 - not yet decided, call next week...03/08/2023 - not yet decided, call after 10 days...22/07/2023 - Client said he is exploring projects in Panvel and Thane, needs 10-15 days time to decide...21/07/2023 - ringing...20/07/2023 - ringing..."
1984914,2023-07-16," 
 30-10-23 19:13 PM (Kirti Prakash) : Table Discussion-Client Mostly looking in RTMI ,he got call from Cp Telecaller that there is lots of inventory in oxy 1, later convinced him for 5B, will get revert from client on Thursday -Follow Up/Revisit Discussions-21.7.23 Ringing
23.7.23 Ringing
27.7.23 Ringing
14.8.23 Ringing"
1984949,2023-07-18," 
 30-10-23 18:23 PM (Kirti Prakash) : Table Discussion-18/07/2023 - Client stays in Taloja, intersted for 2bhk - CA-640 in 80 lacs all inclusive, exploring projects in Kharghar, husband is working in HPCL, will discuss with family and will revert.. -Follow Up/Revisit Discussions-24/07/2023 - Client said plan dropped due to family issue...21/07/2023 - Client said needs time to decide, exploring projects in Taloja also...20/07/2023 - ringing..."
1984986,2023-07-22," 
 30-10-23 18:24 PM (Kirti Prakash) : Table Discussion-Client stays in chembur he has his own of tours and travels and he is looking property for end use and he likes our 2 bhk is oxy 1 so he needs 1 week time to discuss with his banker so he will inform me on Friday about his decision -Follow Up/Revisit Discussions-27/07 Client said just come mumbai and he is going tomorrow to shridi and he will come back on sunday so he will try to come on monday
30/07 Client said he still shridi and after he will go to aurangabad so he is buy in the coming week also he will try to coome on next week 
04/08 Client said i am out of station now and i will try to come on sunday 
06/08 Client said i am still out side i will try to come on next weekend
11/08 Call Not Answer
11/08 Client said he is not intrested in the location so i convince then client said i am coming there tomorrow so i will come tomorrow and meet you
25/08 client said he is doubt with location so i convinced him about devlopment then he said i will check with family and let you know about mu decision
09/09 Call Disconnected 
11/09 Call Disconnected
14/09 Call Not Answer
19/09 client said we are not looking property in kharghar now"
1985045,2023-07-23," 
 30-10-23 18:24 PM (Kirti Prakash) : Table Discussion-Client stays in Kharghar, looking for 2BHK RTMI, liked the project, but need a months time for any decision, as he have just started scouting properties. -Follow Up/Revisit Discussions-28-07- Call not answered.
04-08- Call not answered, dropped message on WA.
11-08- Client said he is in office, he will let know.
20-08- Call not answered
25-08- Call not answered
27-08- Call not answered
01-09- Not responding to calls"
1985137,2023-07-30," 
 30-10-23 19:20 PM (Kirti Prakash) : Table Discussion-Remark - Customer stays in Kamothe & is looking for 1 BHK as self use. Want to sell off their current property & then think about it. Almost finalised 1307 in tower 3 & is looking for investing in the same unit however, said need 1 weeks time to think & revert. If the same unit is not available till then will plan for for 1 BHK in tower 4. Is a teacher, working in primary school in  Kamothe itself. -Follow Up/Revisit Discussions-03/08 Customer is not answering
08/08 Since customer is not answering dropped voice message on Whats app 
11/08 Not responding to calls
12/08 As per Sm's confirmation from teh CP he's currently out of station
25/08 Customer is just picking up the call & disconnecting
30/08 Not answering
31/08 As per SM customer is not responding the Cp as well
08/09 Informed the SM no response from customer's end or CP"
1984990,2023-07-22," 
 30-10-23 18:36 PM (Kirti Prakash) : Table Discussion-Client stays in Airoli he is working in IBM India he is looking property for end use and he likes our project but he wants some time to understand the location and he wants to do discussion also with his family he will let me know about his decision -Follow Up/Revisit Discussions-24/07 call Disconnected
25/07 Client has quiry about road and development so i convince him about development and all then he said he will discuss with his family try to come with them for the visit
27/07 Call Not Answer
03/08 Call Not Answer message sent
04/08 Client said he will discuss with his family on this weekend if they say ok then we will come for revisit on next weekend
08/08 Call Not Answer
10/08 Call Not Answer
11/08 Client said now we are looking property in koper khairne or ghansoli "
1985023,2023-07-23," 
 30-10-23 19:20 PM (Kirti Prakash) : Table Discussion-Client said need some time to think -Follow Up/Revisit Discussions-29.7.23 Ringing
4.8.23 Ringing
25.8.23 Ringing"
1985051,2023-07-23," 
 30-10-23 19:20 PM (Kirti Prakash) : Table Discussion-23/07/2023-  client stay in kamothe, looking 1bhk for self use and early possessions, budget disclose 45L, he said will discuss with family and revert back. -Follow Up/Revisit Discussions-18/10/2023- not sold.
05/10/2023- not sold.
19/09/2023- not sold.
01/09/2023- client's flat is not sold yet.
25/08/2023- ringing...
10/08/2023- ringing, he called me and said his flat selling is underprocess.
27/07/2023- client said he is intrested for oxy1 but he said He has a flat which is in Taloja, he is still living there, he has to sell it and get that flat(oxy1).number of mukesh sinha,9987691379"
1985088,2023-07-29," 
 30-10-23 19:20 PM (Kirti Prakash) : Table Discussion-Staying @ Kharghar, Husband working in privet Sec.  @ Dubai, want some time for discuss with family -Follow Up/Revisit Discussions-4-10-23: Plan drop,CSOP, Chembur 
25-09-23: want some time,finansial Issues.
28-08-23: CSOP, Chembur , Need some time for finalise
Staying @ Kharghar, Husband working in privet Sec.  @ Dubai, want some time for discuss with family"
1985139,2023-07-30," 
 30-10-23 18:24 PM (Kirti Prakash) : Table Discussion-Remark - Customer stays in Chembur, looking for 1 BHK for self use. Said her husband is the real decision maker & will discuss with her as she's just scouting the property now. Husband is into logistics business & she's working as freelancer with a chain marketing firm. Loan will happen only with her husband. Will get back -Follow Up/Revisit Discussions-04/08 Not answering
08/08 Customer said they have changes their mind, they'll plan next year due to some family issues"
1985158,2023-07-30," 
 30-10-23 19:20 PM (Kirti Prakash) : Table Discussion-client lookng for 2bhk 70 lacs budget -Follow Up/Revisit Discussions-03/08 client said his max budget is 60 lacs"
1985136,2023-07-30," 
 30-10-23 19:14 PM (Kirti Prakash) : Table Discussion-Remark - Customer stays in Prabha devi & is looking for 2 BHK as investment purpose. Found our pricing to be very high. Will discuss with her family. Both her son's are staying in Australia & one of them is a civil engineer. Will discuss with him & if agrees will then plan further. Their current property is now going under development hence instead of staying on rent planning to buy a 2 BHK in Kharghar itself as they have stayed in this Kharghar earlier. -Follow Up/Revisit Discussions-04/08 Not answering 
08/08 Customer is just cutting the call
10/08 SAid still not discussed with family will inform once they decide
18/08 SAid not decided yet"
1985151,2023-07-30," 
 30-10-23 18:40 PM (Kirti Prakash) : Table Discussion-Need some tim to think -Follow Up/Revisit Discussions-1.7.23 He said not intrested"
